子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
其有功於子，可食而食之矣。	Người nào làm công cho ngươi, có thể nhận được thực phẩm mà ăn.
且子食志乎？食功乎？	Vả lại, ngươi cho ăn vì chí hướng hay cho ăn vì công việc?”.
曰：食志。	Bành Canh trả lời: “Cho ăn vì chí hướng.”.
曰：有人於此，毀瓦畫墁，其志將以求食也，則子食之乎？	Mạnh Tử nói: “Có người ở đây, phá hoại ngói, vẽ vạch bậy bạ, mà có chí hướng tìm thực phẩm, thì ngươi có cho ăn không?”.
曰：否。	Đáp: “Không cho.”.
曰：然則子非食志也，食功也。	Mạnh Tử nói: “Vậy thì ngươi chẳng phải cho ăn vì chí hướng mà cho ăn vì công việc.”.
萬章問曰：宋，小國也，今將行王政，齊楚惡而伐之，則如之何？	Vạn Chương hỏi rằng: “Nước Tống là nước nhỏ, nay sắp thi hành nền chính trị vương đạo; nước Tề, nước Sở ghét mà đánh, thì phải làm sao?”.
孟子曰：湯居亳，與葛為鄰。	Mạnh Tử nói: “Vua Thang ở đất Bạc, là lân bang của nước Cát.
葛伯放而不祀，湯使人問之曰：“何為不祀？”	Bá tước Cát sống buông thả mà chẳng cúng tế. Vua Thang sai người hỏi rằng: “Sao không cúng tế?”.
曰：“無以供犧牲也。”	“Đáp: ‘Không có những con vật được nuôi tuyển để dâng cúng.’.
湯使遺之牛羊，葛伯食之，又不以祀。	“Vua Thang sai đem biếu bò, dê. Bá tước Cát ăn hết, lại chẳng cúng tế.
湯又使人問之曰：“何為不祀？”	Vua Thang lại sai người hỏi rằng: ‘Sao không cúng tế?’.
曰：“無以供粢盛也。”	“Đáp: ‘Không có xôi nếp để dâng cúng.’.
湯使亳眾往為之耕，老弱饋食。	“Vua Thang sai dân đất Bạc đi sang bên đó cày cấy, những người già yếu đem lương thực đi cho.
葛伯率其民，要其有酒食黍稻者奪之，不授者殺之。	Bá tước Cát đốc suất dân đón bắt những người mang rượu, đồ ăn, lúa, nếp mà đoạt lấy; người nào không trao cho thì giết đi.
有童子以黍肉餉，殺而奪之。	Có một đứa bé đem lúa và thịt đi cũng bị giết mà đoạt lấy.
書曰：“葛伯仇餉”，此之謂也。	“Kinh Thư chép rằng: ‘Bá Tước Cát coi người đem cho là thù địch.’ Câu đó nói về vụ này.
為其殺是童子而征之，四海之內皆曰：“非富天下也，為匹夫匹婦復讎也。”	Vì việc giết đứa bé ấy mà cuộc chinh phạt diễn ra. Mọi người trong bốn biển đều nói rằng: ‘Chẳng phải vì giàu có trong thiên hạ, nhưng vì những người dân hèn mà phục thù.’.
湯始征，自葛載。	“Vua Thang khởi đầu chinh phạt từ nước Cát trước.
十一征而無敵於天下。	Tiến hành mười một cuộc chinh phạt mà trở nên vô địch trong thiên hạ.
東面而征，西夷怨；南面而征，北狄怨，曰：“奚為後我？”民之望之若大旱之望雨也。	Đánh ở mặt đông, rợ Di phương tây oán; đánh ở mặt nam, rợ Địch phương bắc oán. Họ nói rằng: “Sao đến ta sau vậy?” Dân chúng trông ngóng dường như đại hạn mong mưa.
歸市者弗止，芸者不變。	Người đi chợ không dừng chân, kẻ làm cỏ không bỏ việc.
誅其君，吊其民，如時雨降，民大悅。	Ngài giết vua mà thăm viếng dân; dân mừng rỡ như lúc trời đổ mưa.
書曰：“徯我后，后來其無罰。”“有攸不為臣，東征，綏厥士女。篚厥玄黃，紹我周王見休，惟臣附于大邑周。”其君子實玄黃于篚以迎其君子，其小人簞食壺漿以迎其小人。	“Kinh Thư chép rằng: ‘Đợi vua ta; vua đến, ấy là khỏi bị hành hạ.’ ‘Còn có chốn nào chưa thần phục, lại Đông Chinh vỗ yên trai gái, dân dâng giỏ lụa đen lụa vàng, cùng nối theo Chu vương chúng ta, để được hưởng an bình phúc lộc, đại ấp nhà Chu riêng dạ phục tòng.’ Các chức sắc trong dân đã đem những giỏ đầy lụa đen lụa vàng ra đón các quan tướng; còn trăm họ đem cơm giỏ nước bầu ra đón các lính tráng.
救民於水火之中，取其殘而已矣。	Vua cứu dân ra khỏi nạn nước lửa, chỉ bắt lấy kẻ hại dân mà thôi.
不行王政云爾；茍行王政，四海之內皆舉首而望之，欲以為君。	“Không thi hành chính trị vương đạo thì thôi. Nếu ai thi hành chính trị vương đạo, toàn dân trong bốn biển đều ngẩng đầu trông ngóng, muốn cho người ấy làm vua.
齊楚雖大，何畏焉？	Nước Tề, nước Sở tuy lớn, có đáng sợ gì!”.
孟子謂戴不勝曰：子欲子之王之善與？	Mạnh Tử bảo Đái Bất Thắng rằng: “Ông muốn vua của ông làm điều thiện ư?
我明告子：有楚大夫於此，欲其子之齊語也，則使齊人傅諸？使楚人傅諸？	Tôi trình bày rõ cho ông nghe. Ở đây có một đại phu nước Sở, muốn con mình học tiếng nước Tề; nên khiến người Tề dạy nó, hay khiến người Sở dạy nó?”.
曰：使齊人傅之。	Đáp: “Khiến người Tề dạy.”.
曰：一齊人傅之，眾楚人咻之，雖日撻而求其齊也，不可得矣。	Mạnh Tử nói: “Trong khi một người Tề dạy, lại có một đám người Sở nói ầm ĩ, tuy mỗi ngày có dùng roi đánh mà ép học tiếng nước Tề, chẳng thể nào được.
引而置之莊岳之間數年，雖日撻而求其楚，亦不可得矣。	Nếu dẫn nó đến một nơi thuộc xóm Trang Nhạc (ở kinh đô nước Tề) vài năm, tuy mỗi ngày có dùng roi đánh mà ép học tiếng nước Sở, cũng chẳng thể được.
子謂薛居州，善士也，使之居於王所。	“Ông bảo Tiết Cư Châu là bậc thiện sĩ, nên khiến ông ấy ở bên vua Tống.
在於王所者，長幼卑尊皆薛居州也，王誰與為不善？在王所者，長幼卑尊皆非薛居州也，王誰與為善？	Nếu ở bên vua, già trẻ, kẻ thấp hèn, người tôn quí đều như Tiết Cư Châu, thì vua làm điều bất thiện với ai? Nếu ở bên vua, già trẻ, kẻ thấp hèn, người tôn quý đều chẳng phải Tiết Cư Châu, thì vua làm điều thiện với ai?
一薛居州，獨如宋王何？	Vua nước Tống giống như một mình Tiết Cư Châu sao?”.
公孫丑問曰：不見諸侯，何義？	Công Tôn Sửu hỏi rằng: “Không ra mắt vua chư hầu, là nghĩa làm sao?”.
孟子曰：古者不為臣不見。	Mạnh Tử nói: “Người xưa không làm bề tôi thì không ra mắt.
段干木逾垣而辟之，泄柳閉門而不納。是皆已甚；迫，斯可以見矣。	Đoàn Can Mộc trèo tường mà trốn vua. Tiết Liễu đóng cửa mà chẳng mời vua vào, như thế đều là quá mức; nếu được nài ép thì có thể ra mắt.
陽貨欲見孔子，而惡無禮。	“Dương Hoá muốn Khổng Tử xuất hiện mà sợ vô lễ.
大夫有賜於士，不得受於其家，則往拜其門。	Khi quan đại phu có của ban tặng cho kẻ sĩ, mà kẻ sĩ không ở nhà đón nhận, thì hãy đến bái tạ ở cửa nhà ông ấy.
陽貨矙孔子之亡也，而饋孔子蒸豚，孔子亦矙其亡也而往拜之。	Dương Hoá rình xem Khổng Tử đi vắng, bèn đem cho Khổng Tử một con heo chín. Khổng Tử cũng chờ xem ông ta đi vắng thì đến nhà bái tạ.
當是時，陽貨先，豈得不見？	Đương thời buổi ấy, Dương Hoá đã giữ lễ trước, há lại không đến ra mắt?.
曾子曰：“脅肩諂笑，病于夏畦。”	“Tăng Tử nói: ‘Chùn vai, cười nịnh thì khốn khổ như kẻ làm ruộng giữa mùa hè.’.
子路曰：“未同而言，觀其色，赧赧然，非由之所知也。”由此觀之，則君子之所養，可知已矣。	Tử Lộ nói: ‘Nói với kẻ chẳng đồng quan điểm với mình, nhìn cái sắc thẹn đỏ ửng, chẳng phải chỗ để ý của Do này.’ Theo sự quan sát đó, chỗ nuôi dưỡng của người quân tử có thể biết được đấy.”.
戴盈之曰：什一，去關市之征，今茲未能。	Đái Doanh Chi nói: “Theo phép đánh thuế một phần mười, bỏ phép lấy thuế ở cửa ải, cửa ô và chợ búa, nhưng nay việc ấy chưa thể được.
請輕之，以待來年，然後已，何如？	Xin giảm nhẹ đi, đợi đến năm tới, rồi sau hãy thôi, như thế có được chăng?”.
孟子曰：今有人日攘其鄰之雞者，或告之曰：“是非君子之道。”曰：“請損之，月攘一雞；以待來年，然後已。”如知其非義，斯速已矣，何待來年？	Mạnh Tử nói: “Nay có kẻ mỗi ngày ăn trộm của hàng xóm một con gà; có người bảo cho rằng: ‘Điều ấy chẳng phải đạo của người quân tử.’ Hắn đáp: ‘Xin bớt đi, mỗi tháng ăn trộm một con gà, đợi đến năm tới, rồi sau hãy thôi.’ Nếu như biết việc mình làm là phi nghĩa thì hãy nhanh chóng thôi đi, sao phải đợi năm tới?”.
公都子曰：外人皆稱夫子好辯，敢問何也？	Công Đô Tử nói: “Người ngoài đều đồn thổi rằng thầy ham thích biện luận. Dám hỏi, sao vậy?”.
孟子曰：予豈好辯哉？	Mạnh Tử nói: “Ta há ham thích biện luận chăng?
予不得已也。	Ta chẳng đặng đừng đó thôi.
天下之生久矣，一治一亂。	Đã lâu rồi, từ khi thiên hạ được sinh ra, cứ một thời an trị, lại đến một thời loạn lạc.
當堯之時，水逆行，泛濫於中國。	“Đương thời vua Nghiêu, nước chảy lộn ngược. Tràn ngập lênh láng khắp trong nước.
蛇龍居之，民無所定。	Các loài rắn rồng cư ngụ đó đây, dân chúng không có chỗ ổn định.
下者為巢，上者為營窟。	Những người ở phía dưới thì phải làm chòi; những người ở phía trên thì phải đào hang.
使禹治之。	“Ông Vũ được sai đi trị nước.
禹掘地而注之海，驅蛇龍而放之菹，水由地中行，江，淮，河，漢是也。	Ông Vũ đào đất mà rót nước ra biển, xua đuổi lũ rắn rồng ra tận đầm lầy cỏ rậm. Nước noi theo đất mà chảy xuôi; đó là sông Giang, sông Hoài, sông Hà, sông Hán.
險阻既遠，鳥獸之害人者消，然後人得平土而居之。	Những chỗ hiểm trở đã dẹp xa; các loài chim thú hại người bị tiêu trừ; sau đó người ta mới có đất bằng phẳng mà ở.
堯舜既沒，聖人之道衰。	“Vua Nghiêu, vua Thuấn mất đi, đạo của thánh nhân bị suy thối.
暴君代作，壤宮室以為污池，民無所安息；棄田以為園囿，使民不得衣食。	Những vua bạo ngược thay nhau khởi lên, phá hoại nhà cửa để làm ao hồ, dân chúng không có chỗ yên nghỉ; phế bỏ ruộng nương để làm vườn cây, vườn thú, khiến cho dân chúng chẳng có của ăn, của mặc.
邪說暴行又作。	Các tà thuyết, các hành vi bạo tàn lại nổi lên.
園囿污地沛澤多，而禽獸至。	Vườn cây, vườn thú, ao hồ, vũng, đầm nhiều thì chim thú kéo đến.
及紂之身，天下又大亂。	Kịp đến đời vua Trụ, thiên hạ lại cực kỳ loạn lạc.
周公相武王，誅紂，伐奄，三年討其君；驅飛廉於海隅而戮之；滅國者五十；驅虎豹犀象而遠之。	“Chu Công giúp Vũ Vương diệt Trụ, chinh phạt nước Yêm, mất ba năm đánh dẹp vua ấy; đuổi tên Phi Liêm ra tận góc biển mà giết đi; tiêu diệt tới năm mươi nước.
天下大悅。	Thế rồi, xua đuổi hùm, beo, tê giác, voi đi xa; thiên hạ rất vui mừng.
書曰：“丕顯哉文王謨！	“Kinh Thư nói: ‘Mưu định của Văn Vương vẻ vang lớn lao thay!
丕承哉武王烈！	Công nghiệp Vũ Vương kế thừa to tát thay!
佑啟我後人，咸以正無缺。”	Giúp đỡ, mở mang cho người đời sau chúng ta, tất cả đều hoàn toàn chính đáng.’.
世衰道微，邪說暴行有作。	“Đời lại suy, đạo lại tàn; tà thuyết, hành vi bạo ngược lại nổi lên.
臣弒其君者有之，子弒其父者有之。	Bề tôi giết vua cũng có; con giết cha cũng có.
孔子懼，作春秋。	“Khổng Tử lo sợ, bèn trước tác Kinh Xuân Thu.
春秋，天子之事也。	Kinh Xuân Thu nói về công việc của thiên tử vậy.
是故孔子曰：“知我者，其惟春秋乎！	Cho nên Khổng Tử đã nói rằng: ‘Biết ta, chỉ riêng bởi Kinh Xuân Thu chăng?
罪我者，其惟春秋乎！”	Kết tội ta, chỉ riêng bởi Kinh Xuân Thu chăng?’.
聖王不作，諸侯放恣，處士橫議。	“Thánh vương không khởi lên; các vua chư hầu phóng túng làm càn; những kẻ sĩ ẩn dật nghị luận ngang ngạnh.
楊朱，墨翟之言盈天下。	Những lời của Dương Chu, Mặc Địch đầy tràn thiên hạ.
天下之言，不歸楊則歸墨。	Những lời của thiên hạ không hướng về Dương, thì hướng về Mặc.
楊氏為我，是無君也。	Họ Dương vì mình, đó là không vua.
墨氏兼愛，是無父也。	Họ Mặc gồm yêu, đó là không cha.
無父無君，是禽獸也。	Không vua, không cha, đó là loài chim thú vậy.
公明儀曰：“庖有肥肉，廄有肥馬，民有饑色，野有餓莩，此率獸而食人也。”楊墨之道不息，孔子之道不著，是邪說誣民，充塞仁義也。	“Công Minh Nghi nói: ‘Nhà bếp có thịt béo, chuồng ngựa có ngựa béo. Dân chúng có sắc đói, ngoài đường có người chết đói; thế là để cho thú vật ăn thịt người rồi.’ Đường lối của Dương, Mặc mà không chấm dứt, đường lối của Khổng Tử mà không sáng tỏ, thì tà thuyết lừa dối dân, vùi lấp nhân nghĩa.
