第一回宴桃园豪杰三结义斩黄巾英雄首立功 ||| HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công
关公收拾车仗，请二嫂上车，亲自护车而行 ||| Khi đi đường, nghỉ ở xá, Tháo muốn làm rối loạn lễ vua tôi, để Quan Công và hai chị dâu cùng ở một nhà
于路安歇馆驿，操欲乱其君臣之礼，使关公与二嫂共处一室 ||| Quan Công cầm đuốc đứng hầu ngoài cửa, tự tối đến sáng, sắc mặt không lúc nào có dáng mỏi mệt
关公乃秉烛立于户外，自夜达旦，毫无倦色 ||| Tào Tháo thấy thế lại càng kính phục
操见公如此，愈加敬服 ||| Về đến Hứa Xương, Tháo sai sửa sang ngay thừa phủ để Quan Công ở
既到许昌，操拨一府与关公居住 ||| Quan Công chia một nhà làm hai viện, viện trong sai mười người lính già canh cửa
关公分一宅为两院，内门拨老军十人把守，关公自居外宅 ||| Quan Công thì ở nhà ngoài
操引关公朝见献帝，帝命为偏将军 ||| Tháo dẫn Quan Công vào chầu vua Hiến Đế
公谢恩归宅 ||| Vua cho làm thiên tướng quân; Quan Công tạ ơn rồi về
操次日设大宴，会众谋臣武士，以客礼待关公，延之上座；又备绫锦及金银器皿相送 ||| Hôm sau, Tháo mở tiệc lớn, hội cả mưu thần võ sĩ, lấy lễ khách đãi Quan Công, mời đến ngồi trên; lại tặng gấm vóc và những đồ vàng bạc, Quan Công đem về nhờ hai chị thu giữ
关公都送与二嫂收贮 ||| Từ khi Quan Công đến Hứa Xương, Tháo đãi rất hậu
关公自到许昌，操待之甚厚：小宴三日，大宴五日；又送美女十人，使侍关公 ||| Ba ngày một tiệc nhỏ, năm ngày một tiệc lớn; lại đưa mười người con gái đẹp để hầu
关公尽送入内门，令伏侍二嫂 ||| Quan Công đều đưa vào nhà trong để hầu hai chị
却又三日一次于内门外躬身施礼，动问二嫂安否 ||| Cứ ba ngày một lần đứng cửa ngoài chắp tay kính cẩn, hỏi thăm sức khỏe hai chị
二夫人回问皇叔之事毕，曰“叔叔自便”，关公方敢退回 ||| My phu nhân hỏi thăm về tin tức hoàng thúc, bao giờ hỏi xong cũng nói: "Chú cứ tùy tiện"
操闻之，又叹服关公不已 ||| Bấy giờ Quan Công mới dám lui về
一日，操见关公所穿绿锦战袍已旧，即度其身品，取异锦作战袍一领相赠 ||| Một hôm thấy Quan Công mặc áo chiến bào bằng gấm xanh, đã cũ bạc, Tháo truyền ngay lệnh đo người Quan Công, may một chiếc khăn chiến bào bằng gấm thực quý để tặng
关公受之，穿于衣底，上仍用旧袍罩之 ||| Quan Công lĩnh lấy, mặc vào trong, rồi lại lấy áo cũ mặc phủ ra ngoài
操笑曰：“云长何如此之俭乎？”公曰：“某非俭也 ||| Tháo cười mà nói rằng: - Vân Trường hà tiện quá! - Bẩm không phải là hà tiện
旧袍乃刘皇叔所赐，某穿之如见兄面，不敢以丞相之新赐而忘兄长之旧赐，故穿于上 ||| Áo cũ của Lưu hoàng thúc cho, tôi mặc ở ngoài như nhìn thấy mặt anh, dám đâu vì cái mới của thừa tướng vừa ban cho mà đã quên cái cũ của anh tôi đã cho từ trước, nên phải mặc áo cũ ra ngoài là thế
”操叹曰：“真义士也！”然口虽称羡，心实不悦 ||| Tháo khen: - Thực là nghĩa sĩ! Miệng tuy khen, nhưng Tháo không bằng lòng
一日，关公在府，忽报：“内院二夫人哭倒于地，不知为何，请将军速入 ||| Một bữa Quan Công đang ở trướng phủ, chợt có người báo: - Hai phu nhân ở nhà trong, tự dưng khóc lăn cả xuống đất, mời tướng quân vào ngay
”关公乃整衣跪于内门外，问二嫂为何悲泣 ||| Quan Công mặc áo tử tế, vào quỳ ngoài cửa nhà trong, hỏi: - Hai chị có việc chi mà than khóc? Cam phu nhân nói: - Đêm hôm qua tôi mơ thấy hoàng thúc bị hãm ở dưới hố đất, tỉnh dậy bàn với My phu nhân, e rằng hoàng thúc đã ở dưới chín suối, cho nên thương khóc
甘夫人曰：“我夜梦皇叔身陷于土坑之内，觉来与糜夫人论之，想在九泉之下矣！是以相哭 ||| Quan Công nói: - Việc mộng mị không nên tin
”关公曰：“梦寐之事，不可凭信，此是嫂嫂想念之故 ||| Vì hai chị tưởng nhớ, nên mơ thấy thế, xin hai chị đừng lo nghĩ
正说间，适曹操命使来请关公赴宴 ||| Đương chuyện trò, có sứ Tào Tháo đến mời Quan Công vào phủ ăn yến
公辞二嫂，往见操 ||| Quan Công cáo từ hai chị, đến gặp Tào Tháo
操见公有泪容，问其故 ||| Tháo thấy Quan Công có ngấn nước mắt, hỏi cớ làm sao
公曰：“二嫂思兄痛哭，不由某心不悲 ||| Quan Công nói: - Hai chị tôi nhớ anh tôi mà than khóc, cho nên tôi cũng động lòng
”操笑而宽解之，频以酒相劝 ||| Tháo cười, lấy lời khuyên giải, mời uống rượu luôn
公醉，自绰其髯而言曰：“生不能报国家，而背其兄，徒为人也！”操问曰：“云长髯有数乎？”公曰：“约数百根 ||| Quan Công uống say, vuốt râu nói: - Sống không báo được ân nhà nước, lại phụ cả anh, cũng là người bỏ đi
每秋月约退三五根 ||| Tháo hỏi: - Râu Vân Trường ước được bao nhiêu sợi? Quan Công thưa: - Được độ vài trăm sợi, cứ mỗi năm đến mùa thu lại rụng mất dăm ba cái; đến mùa đông phải lấy cái túi the thâm bọc lấy, để cho nó đỡ rụng
冬月多以皂纱囊裹之，恐其断也 ||| Tháo sai ngay lấy gấm may một cái túi, biếu Quan Công để bọc râu
”操以纱锦作囊，与关公护髯 ||| Sáng sớm hôm sau Quan Vũ vào chầu vua
次日，早朝见帝 ||| Vua thấy trước ngực đeo một cái túi gấm, phán hỏi
帝见关公一纱锦囊垂于胸次，帝问之 ||| Quan Công tâu rằng: - Râu tôi hơi dài, thừa tướng cho túi để bọc lại
关公奏曰：“臣髯颇长，丞相赐囊贮之 ||| Vua sai đứng trước điện mở ra vuốt xem, thì thấy râu dài quá bụng
”帝令当殿披拂，过于其腹 ||| Vua phán rằng: - Thực là ông tốt râu! Từ đấy ai cũng gọi Quan Công là "Ông tốt râu"
忽一日，操请关公宴 ||| Một hôm Tháo mời Quan Công ăn yến
临散，送公出府，见公马瘦，操曰：“公马因何而瘦？”关公曰：“贱躯颇重，马不能载，因此常瘦 ||| Lúc tiệc tan, tiễn Quan Công ra đến cửa tướng phủ, thấy ngựa Quan Công gầy quá, Tháo hỏi: - Ngựa ông sao gầy thế? Quan đáp: - Người tôi hơi nặng, ngựa không mang nổi, bởi thế nên nó gầy
”操令左右备一马来 ||| Tháo sai tả hữu ra chọn một con ngựa
须臾牵至 ||| Một lát dắt đến
那马身如火炭，状甚雄伟 ||| Con ngựa ấy sắc đỏ như lửa, trông dáng rất hùng dũng
操指曰：“公识此马否？”公曰：“莫非吕布所骑赤兔马乎？”操曰：“然也 ||| Tháo trỏ ngựa hỏi: - Ông biết con ngựa này không? Quan Công nói: - Bẩm có phải là ngựa Xích Thố của Lã Bố vẫn cưỡi khi xưa không? Tháo nói: - Chính phải! Rồi truyền thắng đủ yên cương, đưa tặng Quan Công
”遂并鞍辔送与关公 ||| Quan Công lạy hai lạy tạ ơn
关公再拜称谢 ||| Tháo không bằng lòng nói: - Ta mấy lần đem con gái đẹp, vàng, bạc tặng ông, ông không lạy tạ bao giờ
操不悦曰：“吾累送美女金帛，公未尝下拜；今吾赠马，乃喜而再拜：何贱人而贵畜耶？”关公曰：“吾知此马日行千里，今幸得之，若知兄长下落，可一日而见面矣 ||| Nay ta cho con ngựa lại tạ ta hai lạy
”操愕然而悔 ||| Sao lại khinh ngươi khinh của mà quý một con súc vật thế? Quan Công đáp: - Tôi biết ngựa này một ngày đi được nghìn dặm, nay thừa tướng cho tôi, nếu biết được anh tôi ở đâu, có thế một ngày được thấy mặt nhau
关公辞去 ||| Tháo nghe nói, ngạc nhiên, nghĩ mà lại hối
后人有诗叹曰：“威倾三国著英豪，一宅分居义气高 ||| Quan Công cáo từ ra về
奸相枉将虚礼待，岂知关羽不降曹 ||| Đời sau có thơ rằng: Lẫy lừng ba nước tiếng anh hào, Một viện chia đôi nghĩa khí cao
”操问张辽曰：“吾待云长不薄，而彼常怀去心，何也？”辽曰：“容某探其情 ||| Gian tướng uổng công chiều chuộng hão, Biết đâu Quan Vũ chẳng hàng Tào? Tháo hỏi Trương Liêu: - Ta đãi Vân Trường rất hậu, sao hắn vẫn có bụng muốn đi? Liêu xin đến dò xem tình ý ra sao
”次日，往见关公 ||| Hôm sau đến gặp Quan Công, Liêu hỏi: - Từ khi tôi tiến cử anh lên thừa tướng, không khi nào bị người bạc đãi
”辽曰：“兄言差矣，处世不分轻重，非丈夫也 ||| Quan Công đáp: - Tôi rất cảm ơn sâu của thừa tướng, nhưng người ở đây mà bụng lúc nào cũng nhớ hoàng thúc, không bao giờ quên
玄德待兄，未必过于丞相，兄何故只怀去志？”公曰：“吾固知曹公待吾甚厚 ||| Liêu nói: - Anh nói sai, ở đời không cân nhắc bên trọng bên khinh, không phải là trượng phu
奈吾受刘皇叔厚恩，誓以共死，不可背之 ||| Huyền Đức đãi đại huynh chưa chắc đã hậu hơn thừa tướng, sao anh cứ muốn đi? Quan Công đáp: - Tôi vẫn biết Tào công đãi tôi hậu lắm, nhưng tôi đã chịu hậu ơn của hoàng thúc, thề cùng sống chết không thể nào phụ lời được
吾终不留此 ||| Tôi quyết không ở mãi đây
要必立效以报曹公，然后去耳 ||| Nhưng trước hết phải lập công để báo ơn thừa tướng, rồi sau mới đi
”辽曰：“倘玄德已弃世，公何所归乎？”公曰：“愿从于地下 ||| Liêu lại hỏi: - Phỏng như Huyền Đức chết mất rồi, thì đại huynh về với ai? Quan Công đáp: - Xin theo xuống dưới đất! Liêu biết không thể nào giữ được Quan Công, bèn về bẩm lại với Tào Tháo
”辽知公终不可留，乃告退，回见曹操，具以实告 ||| Tháo than: - Thờ chúa không quên gốc, thật là nghĩa sĩ trong thiên hạ! Tuân Úc nói rằng: - Hắn nói lập công rồi mới đi chi bằng ta không sai đi lập công, vị tất hắn đã đi được
操叹曰：“事主不忘其本，乃天下之义士也！”荀彧曰：“彼言立功方去，若不教彼立功，未必便去 ||| Tháo cho là phải
”操然之 ||| Nay nói chuyện Huyền Đức ở chỗ Viên Thiệu, sớm tối buồn rầu
却说玄德在袁绍处，旦夕烦恼 ||| Viên Thiệu hỏi: - Huyền Đức sao lo buồn thế? Huyền Đức nói: - Hai em không biết tin tức, vợ con lại bị hãm trong quân Tào, trên không báo được nước, dưới không giữ được nhà, làm thế nào không lo được? Thiệu hỏi: - Ta muốn tiến quân vào Hứa Đô đã lâu
绍曰：“玄德何故常忧？”玄德曰：“二弟不知音耗，妻小陷于曹贼；上不能报国，下不能保家：安得不忧？”绍曰：“吾欲进兵赴许都久矣 ||| Nay đương mùa xuân ấm áp, nên cất quân đi
方今春暖，正好兴兵 ||| Liền họp bàn mưu kế đánh Tào Tháo
”便商议破曹之策 ||| Điền Phong can rằng: Trước Tào Tháo đánh Từ Châu, Hứa Đô bỏ trống chẳng nhân lúc ấy tiến quân; nay Từ Châu bị phá, thế Tào đang mạnh, không nên khinh địch
田丰谏曰：“前操攻徐州，许都空虚，不及此时进兵；今徐州已破，操兵方锐，未可轻敌 ||| Không bằng thong thả, đợi lúc nào có dịp tốt hãy hay
不如以久持之，待其有隙而后可动也 ||| Thiệu nói: - Để ta nghĩ đã
”绍曰：“待我思之 ||| Nhân hỏi Huyền Đức: - Điền Phong khuyên ta cố thủ, ông nghĩ thế nào? Huyền Đức nói: - Tào Tháo là giặc dối vua, nếu minh công không đánh, sợ mất nghĩa lớn với thiên hạ
”因问玄德曰：“田丰劝我固守，何如！”玄德曰：“曹操欺君之贼，明公若不讨之，恐失大义于天下 ||| Thiệu nói: - Huyền Đức nói phải lắm! Rồi muốn khởi binh ngay, Điền Phong lại can
”绍曰：“玄德之言甚善 ||| Thiệu giận nói: - Các ngươi hợm văn khinh võ, để làm tao mất nghĩa lớn hay sao? Điền Phong dập đầu xuống đất nói: - Nếu không nghe lời nói phải của tôi, phen này xuất quân tất bất lợi
”遂欲兴兵 ||| Thiệu nổi giận toan chém Điền Phong, Huyền Đức cố can mới thôi, nhưng bắt Điền Phong bỏ ngục
田丰又谏 ||| Thư Thụ thấy Điền Phong phải giam vào ngục, bèn họp cả họ hàng phân tán hết gia tài và nói: - Tôi chuyến nào theo đi đánh giặc, được thì oai danh lừng lẫy, thua thì một chân cũng khó giữ được vẹn toàn
绍怒曰：“汝等弄文轻武，使我失大义！”田丰顿首曰：“若不听臣良言，出师不利 ||| Họ hàng ai cũng rỏ nước mắt đi tiễn
绍遣大将颜良作先锋，进攻白马 ||| Thiệu sai đại tướng là Nhan Lương làm tiên phong, tiến quân lên đánh xứ Bạch Mã
沮授谏曰：“颜良性狭，虽骁勇，不可独任 ||| Thư Thụ can rằng: - Nhan Lương tuy là tướng khỏe, nhưng tính khí hẹp hòi, không nên cho đi một mình
”绍曰：“吾之上将，非汝等可料 ||| Thiệu nói: - Thượng tướng của ta, các ngươi biết gì! Khi đại quân tiến đến Lê Dương, thái thú ở Đông Quận là Lưu Diên cáo cấp về Hứa Đô
”大军进发至黎阳，东郡太守刘延告急许昌 ||| Tào Tháo kịp bàn đem quân ra địch
曹操急议兴兵抵敌 ||| Quan Công nghe tin, vào ngay tướng phủ thưa với Tào Tháo: - Nghe thừa tướng khởi binh, tôi xin đi làm tiền bộ
关公闻知，遂入相府见操曰：“闻丞相起兵，某愿为前部 ||| Tháo nói: - Tôi chưa dám phiền đến tướng quân, nay mai có việc, sẽ lại mời
”操曰：“未敢烦将军 ||| Quan Công lui về
操引兵十五万，分三队而行 ||| Tháo dẫn mười lăm vạn quân chia ra làm ba đội xuất phát
