第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
倘彼心变，大事去矣。”	Nếu y thay lòng đổi dạ, việc lớn hỏng mất.
卓曰：“奈何？”	Trác hỏi: - Bây giờ nên làm thế nào?
儒曰：“来朝唤入，赐以金帛，好言慰之，自然无事。”	Nho nói: - Sớm mai gọi y vào, cho vàng lụa, dùng lời ngọt ngào an ủi y, thì sẽ không có việc gì xảy ra nữa.
卓依言。次日，使人唤布入堂，慰之曰：“吾前日病中，心神恍惚，误言伤汝，汝勿记心。”	Trác nghe lời, hôm sau cho gọi Lã Bố vào nhà trong, bảo rằng: - Hôm qua trong cơn đau yếu, tinh thần hoảng hốt, ta có nói mấy câu, nhà ngươi đừng để bụng.
随赐金十斤，锦二十匹。	Nói rồi, sai đưa cho Lã Bố mười cân vàng và hai mươi tấm gấm.
布谢归，然身虽在卓左右，心实系念貂蝉。	Bố lạy tạ rồi về, nhưng từ lúc ấy tuy đứng hầu ở bên Đổng Trác, mà ruột gan lúc nào cũng vơ vẫn chung quanh Điêu Thuyền.
卓疾既愈，入朝议事。	Khi Trác đã khỏi bệnh, vào triều bàn việc, Bố vẫn cầm kích đi theo.
布执戟相随，见卓与献帝共谈，便乘间提戟出内门，上马径投相府来；系马府前，提戟入后堂，寻见貂蝉。	Một bữa, Trác đang ngồi bàn tiệc với vua Hiến Đế, Bố vác kích lẻn ra cửa sau, lên ngựa chạy đến tướng phủ, buộc ngựa ở cửa phủ, cầm kích vào thẳng hậu đường, để tìm Điêu Thuyền.
蝉曰：“汝可去后园中凤仪亭边等我。”	Thuyền bảo: - Hãy ra vườn sau bên đình Phượng Nghi đợi thiếp!
布提戟径往，立于亭下曲栏之傍。良久，见貂蝉分花拂柳而来，果然如月宫仙子，——泣谓布曰：“我虽非王司徒亲女，然待之如已出。	Bố vác kích đi trước, đứng bên bao lơn ở dưới đình chờ một hồi lâu, thấy Điêu Thuyền rẽ hoa gạt liễu đi đến, chẳng khác gì tiên trên cung trăng. Thuyền sụt sùi khóc bảo Bố rằng: - Tiện thiếp tuy không phải Vương tư đồ sinh ra, nhưng tư đồ coi thiếp như con đẻ.
自见将军，许侍箕帚。妾已生平愿足。	Từ khi gặp tướng quân, được nhận cho làm kẻ nâng khăn sửa túi thiếp đã lấy làm mãn nguyện lắm.
谁想太师起不良之心，将妾淫污，妾恨不即死；止因未与将军一诀，故且忍辱偷生。	Ngờ đâu thái sư đem lòng bất lương, làm ô nhục thiếp, thiếp giận không chết ngay được, chỉ vì chưa gặp được tướng quân để từ giã lần cuối cùng, cho nên còn nhịn nhục sống đến bây giờ.
今幸得见，妾愿毕矣！	Nay may được gặp nhau, thế là hả rồi.
此身已污，不得复事英雄；愿死于君前，以明妾志！”	Tấm thân đã nhơ nhuốc này không xứng đáng thờ người anh hùng, thiếp xin chết ở trước mặt chàng để tỏ rõ lòng thiếp!
言讫，手攀曲栏，望荷花池便跳。	Điêu Thuyền nói xong, tay vịn bao lơn, mắt nhìn ra ao sen, định nhảy xuống.
吕布慌忙抱住，泣曰：“我知汝心久矣！只恨不能共语！”	Lã Bố vội vàng ôm ngay lấy Điêu Thuyền, khóc nói rằng: - Lòng nàng tôi biết đã lâu, chỉ hiềm chưa được nói với nhau đấy thôi!
貂蝉手扯布曰：“妾今生不能与君为妻，愿相期于来世。”	Điêu Thuyền gạt tay Lã Bố ra nói rằng: - Kiếp này thiếp không được làm vợ chàng, xin hẹn để kiếp sau!
布曰：“我今生不能以汝为妻，非英雄也！”	Lã Bố nói: - Nếu kiếp này không lấy được nàng, tôi không phải là người anh hùng nữa.
蝉曰：“妾度日如年，愿君怜而救之。”	Điêu Thuyền nói: - Thiếp coi một ngày dài bằng một năm, xin chàng thương mà cứu vớt.
布曰：“我今愉空而来，恐老贼见疑，必当速去。”	Bố nói: - Tôi lên đến đây, sợ thằng giặc già nó nghi, tôi phải đi ngay.
蝉牵其衣曰：“君如此惧怕老贼，妾身无见天日之期矣！”	Thuyền lôi vạt áo Lã Bố lại nói rằng: - Chàng còn sợ thằng giặc già như thế, thiếp này không còn mong có ngày nào được trông thấy trời và đất nữa!
布立住曰：“容我徐图良策。”	Bố đứng lại nói rằng: - Đừng vội vàng, để tôi nghĩ cách đã.
语罢，提戟欲去。	Nói rồi vác kích định ra.
貂蝉曰：“妾在深闺，闻将军之名，如雷灌耳，以为当世一人而已；谁想反受他人之制乎！”	Điêu Thuyền níu lại nói rằng: - Khi tôi ở chốn buồng the đã được nghe tiếng tướng quân, lừng lẫy như sấm rót vào tai, tưởng rằng ở đời này chỉ có một người như thế chớ không có hai. Ai ngờ tướng quân lại chịu dưới quyền áp chế của người khác!
言讫，泪下如雨。	Nói rồi, nước mắt chảy xuống như mưa.
布羞惭满面，重复倚戟，回身搂抱貂蝉，用好言安慰。	Lã Bố thẹn đỏ cả mặt, dựa kích vào một chỗ, quay lại ôm lấy Điêu Thuyền, dỗ dành an ủi.
两个偎偎倚倚，不忍相离。	Hai người quấn quấn quýt quýt không nỡ buông nhau ra.
却说董卓在殿上，回头不见吕布，心中怀疑，连忙辞了献帝，登车回府；见布马系于府前；问门吏，吏答曰：“温侯入后堂去了。”	Đổng Trác ở trên điện, bỗng ngoảnh lại không thấy Lã Bố trong bụng nghi ngay, vội vàng xin cáo từ lên xe về phủ thấy ngựa của Bố buộc trước cửa phủ, Trác bèn hỏi lính canh cửa. Lính canh nói: - Ôn hầu vào nhà sau.
卓叱退左右，径入后堂中，寻觅不见；唤貂蝉，蝉亦不见。	Trác mắng quân canh cửa, đi thẳng ngay vào hậu đường, không thấy Lã Bố. Trác gọi Điêu Thuyền cũng không thấy thưa.
急问侍妾，侍妾曰：“貂蝉在后园看花。”	Trác hỏi người hầu gái. Người hầu gái thưa: Điêu Thuyền ở trong vườn sau ngắm hoa.
卓寻入后园，正见吕布和貂蝉在凤仪亭下共语，画戟倚在一边。	Trác vào vườn sau tìm, thấy Lã Bố và Điêu Thuyền đang nói chuyện với nhau ở bên Đình Phượng Nghi, họa kích dựng một bên.
卓怒，大喝一声。	Trác giận quát to một tiếng.
布见卓至，大惊，回身便走。	Bố thấy Trác đến, cả sợ, quay đầu chạy.
卓抢了画戟，挺着赶来。	Trác vớ ngay lấy ngọn họa kích đuổi theo.
吕布走得快，卓肥胖赶不上，掷戟刺布。	Bố chạy mau, Trác béo phục phịch, đuổi không kịp, bèn cầm kích ném theo Lã Bố.
布打戟落地。卓拾戟再赶，布已走远。	Bố gạt rơi xuống đất, Trác nhặt kích lại đuổi, nhưng Bố đã chạy xa.
卓赶出园门，一人飞奔前来，与卓胸膛相撞，卓倒于地。	Trác đuổi ra tận cửa vườn, thì một người xăm xăm chạy đến, đâm sầm ngay vào Đổng Trác. Trác ngã quỵ xuống đất.
正是：冲天怒气高千丈，仆地肥躯做一堆。	Thế rõ thực là: Khi căm xông thắng trên mây tía Mình béo lăn kềnh đến đất đen.
未知此人是谁，且听下文分解。	Chưa biết người ấy là ai, xem hồi sau mới rõ.
第九回除暴凶吕布助司徒犯长安李傕听贾诩	HỒI 9 Trừ hung bạo, Lã Bố giúp Tư đồ; Chiếm Trường An, Lý Thôi nghe Giả Hủ
却说那撞倒董卓的人，正是李儒。当下李儒扶起董卓，至书院中坐定，卓曰：“汝为何来此？”	Người đi va vào Đổng Trác, tức là Lý Nho, Nho thấy Trác ngã, vội vàng đỡ Trác đứng dậy, dìu vào ngồi trong thư viện. Trác hỏi Lý Nho: - Ngươi đến đây làm gì?
儒曰：“儒适至府门，知太师怒入后园，寻问吕布。因急走来，正遇吕布奔走，云：‘太师杀我！’	Lý Nho thưa: - Tôi chợt qua cửa phủ, thấy nói thái sư giận đi vào vườn sau tìm Lã Bố, tôi vội vàng chạy vào, thì gặp Lã Bố chạy ra, kêu lên rằng: "Thái sư giết ta".
儒慌赶入园中劝解，不意误撞恩相。死罪！死罪！”	Bởi thế, tôi hấp tấp vào đây để can ngăn thái sư, chẳng may chạm phải thái sư, thật đáng tội chết!
卓曰：“叵耐逆贼！	Trác nói: - Không thể tha được thằng nghịch tặc ấy!
戏吾爱姬，誓必杀之！”	Nó dám đùa bỡn ái cơ của ta. Thế nào ta cũng giết chết nó mới nghe.
儒曰：“恩相差矣。昔楚庄王绝缨之会，不究戏爱姬之蒋雄，后为秦兵所困，得其死力相救。	Lý Nho can rằng: - Thái sư không nghĩ cho chín; ngày xưa vua Trang Vương nước Sở, trong bữa tiệc "Dứt dãi mũ" đã tha tội cho Tưởng Hùng đã đùa bỡn với người vợ yêu, đến sau bị binh nhà Tần làm khốn, được Tưởng Hùng cố sức liều chết cứu thoát được.
今貂蝉不过一女子，而吕布乃太师心腹猛将也。太师若就此机会，以蝉赐布，布感大恩，必以死报太师。太师请自三思。”	Nay Điêu Thuyền chẳng qua là một đứa con gái mà Lã Bố là một mãnh tướng tâm phúc của thái sư, nếu thái sư nhân dịp này đem Điêu Thuyền cho Bố, chắc Bố cảm ơn lắm, lấy chết báo lại thái sư, xin thái sư nghĩ đi nghĩ lại.
卓沈吟良久曰：“汝言亦是，我当思之。”	Trác nghĩ ngợi hồi lâu rồi nói rằng: - Ngươi nói cũng phải, để ta nghĩ kỹ xem.
儒谢而出。	Lý Nho tạ từ rồi ra.
卓入后堂，唤貂蝉问曰：“汝何与吕布私通耶？”	Trác vào ngay hậu đường gọi Điêu Thuyền ra hỏi rằng: - Sao mày có tư tình với Lã Bố?
蝉泣曰：“妾在后园看花，吕布突至。	Điêu Thuyền khóc thưa rằng: - Thiếp đang đứng xem hoa, bỗng Lã Bố đột ngột ở đâu đến.
妾方惊避，布曰：‘我乃太师之子，何必相避？’	Thiếp vội vàng toan tránh. Bố nói: "Tôi là con thái sư, việc gì phải tránh?".
提戟赶妾至凤仪亭。	Rồi y cầm kích ép thiếp đến đình Phượng Nghi.
妾见其心不良，恐为所逼，欲投荷池自尽，却被这厮抱住。	Thiếp thấy y có lòng bất lương, sợ xâm phạm tới mình thiếp, định đâm đầu xuống ao sen tự tận, nhưng lại bị y ôm chặt lấy.
正在生死之间，得太师来，救了性命。”	Đang lúc giằng co không biết sống chết thế nào, may có thái sư chạy lại cứu được tính mệnh.
董卓曰：“我今将汝赐与吕布，何如？”	Trác lại hỏi: - Nay ta đem mày gả cho nó, mày có thuận không?
貂蝉大惊，哭曰：“妾身已事贵人，今忽欲下赐家奴，妾宁死不辱！”	Điêu Thuyền giật mình, khóc rằng: - Thiếp đã được vào hầu quý nhân, nay lại đem gả cho thằng ở, thiếp thà chết chứ không chịu được nhục này!
遂掣壁间宝剑欲自刎。	Bèn rút thanh bảo kiếm treo ở vách, toan tự vẫn.
卓慌夺剑拥抱曰：“吾戏汝！”	Trác vội vàng giằng lấy thanh gươm và ôm chặt lấy Điêu Thuyền và nói rằng: Ta nói bỡn đấy mà!
貂蝉倒于卓怀，掩面大哭曰：“此必李儒之计也！儒与布交厚，故设此计；却不顾惜太师体面与贱妾性命。妾当生噬其肉！”	Thuyền nằm ngã vào lòng Trác, bưng mặt khóc rằng: - Đây hẳn là mẹo của Lý Nho, Nho với Bố hai đứa là bạn thân với nhau, nên Nho mới bày ra mẹo này, không kể gì đến thể diện của thái sư và tính mệnh của tiện thiếp, thiếp phải xả thịt chúng nó ra.
卓曰：“吾安忍舍汝耶？”	Trác nói: - Ta sao nỡ bỏ nàng.
蝉曰：“虽蒙太师怜爱，但恐此处不宜久居，必被吕布所害。”	Điêu Thuyền lại nói: - Thái sư dẫu có lòng thương yêu, cũng không nên ở đây lâu, sợ bị Lã Bố làm hại.
卓曰：“吾明日和你归郿坞去，同受快乐，慎勿忧疑。”	Trác dỗ dành Điêu Thuyền rồi nói rằng: - Ngày mai chúng ta về My Ổ, cùng hưởng sung sướng, đừng lo gì nữa.
蝉方收泪拜谢。	Thuyền mới lau nước mắt lạy tạ.
次日，李儒入见曰：“今日良辰，可将貂蝉送与吕布。”	Hôm sau Lý Nho vào ra mắt, nói rằng: - Hôm nay tốt ngày thái sư nên đem Điêu Thuyền gả cho Lã Bố.
卓曰：“布与我有父子之分，不便赐与。	Trác nói: - Chuyện ấy ta đã nghĩ rồi. Lã Bố với ta là quan hệ cha con, làm thế không tiện.
我只不究其罪。汝传我意，以好言慰之可也。”	Ta tha tội cho Bố, ngươi nên truyền đạt cho Bố biết ý ta và tìm lời an ủi Bố thế là được rồi!
儒曰：“太师不可为妇人所惑。”	Nho nói: - Thái sư đừng dễ mê hoặc vì một người đàn bà.
卓变色曰：“汝之妻肯与吕布否？	Trác giận đổi sắc mặt mắng rằng: - Thế thì vợ mày mày có đem cho nó không?
貂蝉之事，再勿多言；言则必斩！”	Việc Điêu Thuyền cấm không được động đến nữa, còn nói tao sẽ chém đầu.
李儒出，仰天叹曰：“吾等皆死于妇人之手矣！”	Lý Nho trở ra, ngẩng mặt lên trời than rằng: - Lũ chúng ta chết cả về tay người đàn bà!
后人读书至此。有诗叹之曰：“司徒妙算托红裙。不用干戈不用兵。三战虎牢徒费力，凯歌却奏凤仪亭。”	Đời sau có thơ rằng: Tư đồ khéo mượn khách má đào, Chẳng dùng gươm giáo, chẳng dùng dao, Hổ Lao ba trận hoài bao sức, Phượng Nghi chiến thắng ấy lạ sao!
董卓即日下令还郿坞，百官俱拜送。	Ngay hôm ấy Đổng Trác hạ lệnh về My Ổ, trăm quan đều tống tiễn.
貂蝉在车上，遥见吕布于稠人之内，眼望车中。	Điêu Thuyền ngồi trên xe, xa trông thấy Lã Bố đứng ở trong đám đông người, mắt nhìn vào trong xe.
貂蝉虚掩其面，如痛哭之状。	Thuyền giả cách che mặt làm ra dáng đau khóc bi thảm.
车已去运，布缓辔于土冈之上，眼望车尘，叹惜痛恨。	Xe đã đi xa. Lã Bố còn cầm cương ngựa đứng trên gò đất, nhìn đám bụi mù mịt than tiếc bực dọc.
