第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
鲁肃也往看问了，来至孔明船中，谓孔明曰：“今日公瑾怒责公覆，我等皆是他部下，不敢犯颜苦谏；先生是客，何故袖手旁观，不发一语？”	Lỗ Túc cũng đến thăm, rồi xuống thuyền trách Khổng Minh rằng: - Hôm nay Công Cẩn giận đánh Hoàng Cái như thế, chúng tôi là bộ hạ Công Cẩn nên không ai dám mạnh dạn can ngăn đã đành; tiên sinh là khách, sao chỉ thu tay đứng xem, không nói giúp cho một câu gì?
孔明笑曰：“子敬欺我。”	Khổng Minh cười nói: - Tử Kính còn dối ta!
肃曰：“肃与先生渡江以来，未尝一事相欺。 今何出此言？”	Túc nói: - Từ khi tôi cùng với tiên sinh sang sông đến giờ, chưa hề có câu gì dối nhau, sao tiên sinh lại nói thế?
孔明曰：“子敬岂不知公瑾今日毒打黄公覆，乃其计耶？	Khổng Minh nói: - Thế ra Tử Kính không biết Công Cẩn đánh đau Hoàng Cái là mưu kế đó ư?
如何要我劝他？”	Tại sao còn cần đến tôi khuyên can?
肃方悟。 孔明曰：“不用苦肉计，何能瞒过曹操？	Lỗ Túc bấy giờ mới biết, Khổng Minh nói: - Không dùng mẹo khổ nhục, làm sao đánh lừa được Tào Tháo?
今必令黄公覆去诈降，却教蔡中、蔡和报知其事矣。	Nay đô đốc tất sai Hoàng Cái sang trá hàng, và mượn bọn Sái Trung đưa tin về trước.
子敬见公瑾时，切勿言亮先知其事，只说亮也埋怨都督便了。”	Tử Kính có đến chơi với Công Cẩn, chớ có nói là ta biết mẹo ấy nhé! Chỉ nên nói rằng ta cũng oán Công Cẩn ác quá là xong.
肃辞去，入帐见周瑜。	Túc về, vào gặp Chu Du.
瑜邀入帐后。	Du mời vào sau trướng ngồi chơi.
肃曰：“今日何故痛责黄公覆？”	Túc nói: - Hôm nay, làm sao đô đốc đánh Công Phúc đau quá thế?
瑜曰：“诸将怨否？”	Du hỏi: - Các tướng có ai oán ta không?
肃曰：“多有心中不安者。”	Túc nói: - Nhiều người thắc mắc lắm!
瑜曰：“孔明之意若何？”	Du hỏi: - Ý Khổng Minh thế nào?
肃曰：“他也埋怨都督忒情薄。”	- Khổng Minh cũng oán đô đốc bạc đãi tướng sĩ.
瑜笑曰：“今番须瞒过他也。”	Du cười, nói: - Phen này ta mới lừa được Khổng Minh!
肃曰：“何谓也？” 瑜曰：“今日痛打黄盖，乃计也。	Túc hỏi làm sao, Du nói: - Đánh Hoàng Cái là kế của ta đó.
吾欲令他诈降，先须用苦肉计瞒过曹操，就中用火攻之，可以取胜。”	Ta muốn sai hắn trá hàng, nên trước hết dùng kế khổ nhục để đánh lừa Tào Tháo, rồi sau dùng kế hỏa công tì mới có thể thắng được.
肃乃暗思孔明之高见，却不敢明言。	Túc trong bụng phục Khổng Minh là cao kiến, nhưng không dám nói rõ.
且说黄盖卧于帐中，诸将皆来动问。	Hoàng Cái đau nằm trong trướng, các tướng đều đến hỏi thăm.
盖不言语，但长吁而已。	Cái chẳng nói năng gì cả, cứ thở dài sườn sượt.
忽报参谋阚泽来问。	Chợt báo có quan tham mưu là Hán Trạch lại thăm.
盖令请入卧内，叱退左右。	Cái sai mời vào tận chỗ nằm, đuổi tả hữu lui ra ngoài.
阚泽曰：“将军莫非与都督有仇？”	Hám Trạch hỏi: - Tướng quân có thù hằn gì với đô đốc chăng?
盖曰：“非也。”	Cái nói: - Không thù hằn gì cả.
泽曰：“然则公之受责，莫非苦肉计乎？”	Trạch nói: - Thế thì vừa rồi ông bị đòn có phải là kế khổ nhục không?
盖曰：“何以知之？”	Cái hỏi: - Sao ông biết?
泽曰：“某观公瑾举动，已料着八九分。”	- Tôi xem bộ dạng Công Cẩn, mười phần đã đoán được chín.
盖曰：“某受吴侯三世厚恩，无以为报，故献此计，以破曹操。	Cái nói: - Tôi chịu hậu ân họ Tôn đã ba đời, không lấy gì báo được. Nên hiến kế ấy để phá Tào Tháo.
吾虽受苦，亦无所恨。 吾遍观军中，无一人可为心腹者。 惟公素有忠义之心，敢以心腹相告。”	Thân tôi tuy đau khổ, nhưng ai là tâm phúc của tôi; duy có ông là người trung nghĩa, nên tôi mới dám thổ lộ can trường.
泽曰：“公之告我，无非要我献诈降书耳。”	Trạch nói: - Phải chăng ông muốn dùng tôi dâng thư trá hàng?
盖曰：“实有此意。 未知肯否？”	Cái đáp: - Quả thị tôi có ý đó, chưa biết ông có chịu giúp cho không?
阚泽欣然领诺。	Hám trạch hớn hở nhận lời.
正是：勇将轻身思报主，谋臣为国有同心。	Ấy thực là: Dũng tướng quên mình mong báo chúa, Mưu thần vì nước lại đồng tâm.
未知阚泽所言若何，且看下文分解。	Chưa biết Hám dùng Trạch dâng thư làm sao, xem đến hồi sau sẽ rõ.
第四十七回阚泽密献诈降书庞统巧授连环计	HỒI 47 Hám Trạch mật dâng thư giả hàng; Bàng Thống khéoliên hoàn kế.
却说阚泽字德润，会稽山阴人也；家贫好学，与人佣工，尝借人书来看，看过一遍，更不遗忘；口才辨给，少有胆气。	Hám Trạch tự là Đức Nhuận, người làng Sơn Âm, quận Cối Kê, nhà nghèo nhưng chăm học, phải đi làm thuê; thường hay mượn sách về xem, xem xong một lượt là nhớ như in không bao giờ quên nữa. Trạch lại có tài biện bác, có can đảm.
孙权召为参谋，与黄盖最相善。	Tôn Quyền dùng làm tham mưu.
盖知其能言有胆，故欲使献诈降书。 泽欣然应诺曰：“大丈夫处世，不能立功建业，不几与草木同腐乎！	Trạch chơi với Hoàng Cái thân thiết lắm, nên Cái nhờ dâng thư trá hàng, Trạch vui lòng nhận ngay và nói: - Đại trượng phu ở đời, không lập được công danh sự nghiệp gì, chẳng hóa ra cùng với cỏ cây mục nát ư?
公既捐躯报主，泽又何惜微生！” 黄盖滚下床来，拜而谢之。	Ông đã quên mình báo chúa, đây tôi dám há tiếc thân! Hoàng Cái nhảy choàng xuống đất lạy tạ.
泽曰：“事不可缓，即今便行。”	Trạch nói: - Việc không nên để lâu, xin đi ngay hôm nay!
盖曰：“书已修下了。”	Cái nói: - Thư tôi đã viết sẵn rồi.
泽领了书，只就当夜扮作渔翁，驾小舟，望北岸而行。	Trạch nhận lấy thư. Đến đêm giả làm ông lão đánh cá, bơi chiếc thuyền con sang thẳng bờ phía Bắc.
是夜寒星满天。 三更时候，早到曹军水寨。	Đêm hôm ấy, sao lạnh đầy trời; vừa canh ba thì thuyền Hám Trạch tới cạnh thủy trại quân Tào.
巡江军士拿住，连夜报知曹操。	Quân tuần tiễu trên sông bắt được, vào báo với Tào Tháo.
操曰：“莫非是奸细么？”	Tháo hỏi: - Có lẽ là gian tế chăng?
军士曰：“只一渔翁，自称是东吴参谋阚泽，有机密事来见。”	Quân thưa: Chỉ có một ông lão đánh cá, tự xưng là tham mưu bên Đông Ngô, tên là Hám Trạch, lại trình việc cơ mật.
操便教引将入来。	Tháo sai dẫn vào.
军士引阚泽至，只见帐上灯烛辉煌，曹操凭几危坐，问曰：“汝既是东吴参谋，来此何干？”	Bấy giờ trên trướng, đèn đuốc sáng lòa; Tháo ngồi ngất ngưởng trên ghế hỏi rằng: Ngươi đã làm tham mưu bên Đông Ngô, nay đến đây có việc chi?
泽曰：“人言曹丞相求贤若渴，今观此问，甚不相合。	Trạch nói: Trước kia, tôi thấy người ta đồn Tào thừa tướng cầu người hiền như kẻ khát nước. Nay nghe lời nói thật không ăn khớp chút nào.
黄公覆，汝又错寻思了也！”	Thôi, Hoàng Công Phúc, ngươi nghĩ lầm mất rồi!
操曰：“吾与东吴旦夕交兵，汝私行到此，如何不问？”	Tháo nói: - Ta sắp sửa đánh nhau với Đông Ngô, thấy ngươi một mình đi lẻn đến đây, lẽ nào chẳng phải hỏi?
泽曰：“黄公覆乃东吴三世旧臣，今被周瑜于众将之前，无端毒打，不胜忿恨。	Hám Trạch nói: Hoàng Công Phúc là cựu thần ba đời bên Đông Ngô. Nay vô cớ bị Chu Du dập đánh khổ sở trước mặt các tướng.
因欲投降丞相，为报仇之计，特谋之于我。	Công Phúc lấy làm căm tức vô cùng, bởi vậy, muốn sang hàng thừa tướng để báo thù, liền bàn với tôi.
我与公覆，情同骨肉，径来为献密书。 未知丞相肯容纳否？”	Tôi với ông ta như anh em ruột một nhà, cho nên dâng hộ tờ mật thư, chưa biết thừa tướng có dùng cho không?
操曰：“书在何处？”	Tháo hỏi: - Thư đâu?
阚泽取书呈上。	Hám Trạch đưa thư ra trình.
操拆书，就灯下观看。 书略曰：“盖受孙氏厚恩，本不当怀二心。	Dưới đèn, Tháo mở xem, trong thư nói rằng: "Tôi là Hoàng Cái, đội ơn sâu họ Tôn, đáng lẽ không dám ăn ở hai lòng mới phải.
然以今日事势论之：用江东六郡之卒，当中国百万之师，众寡不敌，海内所共见也。	Nhưng xét tình thế bây giờ, thì đem quân sáu quận Giang Đông mà địch với quân trăm vạn ở Trung Nguyên, ít địch sao nổi nhiều, thiên hạ đều thấy rõ cả.
东吴将吏，无有智愚，皆知其不可。	Các tướng sĩ bên Đông Ngô, bất kỳ khôn dại, ai cũng biết cái lẽ như thế.
周瑜小子，偏怀浅戆，自负其能，辄欲以卵敌石；兼之擅作威福，无罪受刑，有功不赏。	Duy có Chu Du ba tuổi ranh, tính tình nông nổi, tự cao tự đại, muốn đem trứng chọi với đá, lại ỷ thế lộng quyền, phạt kẻ vô tội mà không thương người có công.
盖系旧臣，无端为所摧辱，心实恨之！	Tôi là cựu thần, bỗng dưng bị đánh, căm tức biết ngần nào!
伏闻丞相诚心待物，虚怀纳士，盖愿率众归降，以图建功雪耻。 粮草军仗，随船献纳。	"Tôi được nghe tiếng thừa tướng đem bụng chân thành đãi người, nhún mình dùng kẻ sĩ. Vậy tôi xin đem quân lại hàng, mong lập lấy chút công và rửa nhục trước. Lương thảo cùng đồ khí giới, sẽ xin đem cả thuyền lại nộp sau.
泣血拜白，万勿见疑。”	Khóc ra máu, lạy trình thư này, xin đừng hồ nghi gì cả!".
曹操于几案上翻覆将书看了十余次，忽然拍案张目大怒曰：“黄盖用苦肉计，令汝下诈降书，就中取事，却敢来戏侮我耶！”	Tháo ngồi trên ghế, xem đi xem lại tờ thư hơn chục lượt, rồi bỗng dưng đập tay xuống án, trợn mắt nổi giận lên mà nói rằng: Hoàng Cái dùng kế khổ nhục, sai người đến dâng thư trá hàng, dám to gan đánh trống qua cửa nhà sấm phải không?
便教左右推出斩之。 左右将阚泽簇下。	Và thét tả hữu lôi Trạch ra chém. Khi Trạch bị dẫn đi, nét mặt vẫn thản nhiên như không.
泽面不改容，仰天大笑。	Trạch chỉ ngẩng mặt lên trời cười ngất.
操教牵回，叱曰：“吾已识破奸计，汝何故哂笑？”	Tháo sai lôi lại quát hỏi: Ta đã biết rõ ruột gan ngươi, ngươi còn cười gì nữa?
泽曰：“吾不笑你。	Trạch nói: Thưa! Tôi đâu dám cười ông!
吾笑黄公覆不识人耳。”	Tôi cười Hoàng Công Phúc không biết người đó thôi!
操曰：“何不识人？”	Tháo hỏi: - Thế nào là không biết người?
泽曰：“杀便杀，何必多问！”	Trạch đáp: Chém thì cứ chém, việc gì phải hỏi lôi thôi?
操曰：“吾自幼熟读兵书，深知奸伪之道。 汝这条计，只好瞒别人，如何瞒得我！”	Tháo nói: - Ta đây học binh thư từ nhỏ, còn lạ gì những mẹo ấy, ngươi lừa ai thì được, chớ lừa ta sao nổi?
泽曰：“你且说书中那件事是奸计？”	Trạch nói: Xin ông hãy cho tôi biết mẹo lừa ở chỗ nào?
操曰：“我说出你那破绽，教你死而无怨：你既是真心献书投降，如何不明约几时？	Tháo nói: Để ta nói thẳng cho ngươi biết, để ngươi có chết cũng không oán thán gì được nữa. Nếu các ngươi thật tâm muốn hàng, sao không định trước ngày giờ?
你今有何理说？”	Thế có phải là gian hay không?
阚泽听罢，大笑曰：“亏汝不惶恐，敢自夸熟读兵书！	Trạch nghe xong, phì cười, nói: - Nói thế mà không biết thẹn, dám khoe khoang biết nhiều binh thư!
还不及早收兵回去！ 倘若交战，必被周瑜擒矣！	Thôi, biết điều thì thu quân về cho mau, đừng có đánh chác gì nữa mà bị Chu Du tóm được.
无学之辈！	Đồ vô học kia!
可惜吾屈死汝手！”	Tiếc thay, ta chết uổng về tay ngươi!
操曰：“何谓我无学？”	Tháo hỏi: - Sao lại bảo ta là vô học?
泽曰：“汝不识机谋，不明道理，岂非无学？”	Trạch đáp: Ngươi không biết cơ mưu, không hiểu đạo lý, vô học rành rành ra đấy còn gì!
操曰：“你且说我那几般不是处？”	Tháo nói: - Ngươi cứ vạch những chỗ không đúng của ta ra xem nào?
泽曰：“汝无待贤之礼，吾何必言！	Trạch nói: Ngươi không kính trọng người hiền, hà tất phải nhiều lời làm gì?
但有死而已。”	Ta chỉ có chết là hết!
操曰：“汝若说得有理，我自然敬服。”	Tháo nói: Nếu ngươi đưa ra đủ lý lẽ thì tự nhiên ta sẽ kính phục ngay.
泽曰：“岂不闻背主作窃，不可定期？	Trạch nói: Thế ngươi không biết câu: "Trốn chúa đi lén, không thể hẹn giờ sao''?
倘今约定日期，急切下不得手，这里反来接应，事必泄漏。 但可觑便而行，岂可预期相订乎？	Nếu hẹn trước mà lỡ ra việc trong chưa xong, ngoài đã có binh tiếp ứng, chẳng hóa ra lộ chuyện mất à? Do đó gặp lúc thuận tiện thì làm, chứ hẹn trước làm sao được.
汝不明此理，欲屈杀好人，真无学之辈也！”	Ngươi không hiểu lẽ đó, định giết người tử tế, quả là đồ vô học.
操闻言，改容下席而谢曰：“某见事不明，误犯尊威，幸勿挂怀。”	Tháo nghe xong, dịu ngay nét mặt, bước xuống xin lỗi nói: - Tôi xét việc không tinh, lỡ phạm đến oai ngài, xin tha thứ cho.
