第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
若司马懿追到，任他入谷，便将地雷干柴一齐放起火来。”	Nếu Tư Mã Ý đuổi vào cửa hang, thì phóng hỏa mà đốt cỏ và địa lôi.
又令军士昼举七星号带于谷口，夜设七盏明灯于山上，以为暗号。	Lại phải sai quân sĩ ban ngày thì phất cờ thất tinh ở cửa hang, đến đêm thì đốt đèn thất tinh ở trên núi để làm ám hiệu.
马岱受计引兵而去。	Mã Đại vâng lệnh dẫn quân đi.
孔明又唤魏延分付曰：“汝可引五百兵去魏寨讨战，务要诱司马懿出战。 不可取胜，只可诈败。 懿必追赶，汝却望七星旗处而入；若是夜间，则望七盏灯处而走。 只要引得司马懿入葫芦谷内，吾自有擒之之计。”	Khổng Minh lại gọi Ngụy Diên dặn rằng: - Ngươi nên dẫn năm trăm quân đến trại Ngụy khiêu chiến, cốt nhử được Tư Mã Ý ra không cần gì đánh được, phải giả làm thua, cho Tư Mã Ý đuổi, rồi ngươi cứ trông chỗ nào cắm cờ thất tinh thì chạy đến, ban đêm thì trông đèn thất tinh cố sao nhử được Tư Mã Ý vào hang, ta khắc có mẹo bắt được.
魏延受计，引兵而去。	Ngụy Diên tuân lệnh dẫn quân đi.
孔明又唤高翔分付曰：“汝将木牛流马或二三十为一群，或四五十为一群，各装米粮，于山路往来行走。	Khổng Minh lại gọi Cao Tường dặn rằng: - Ngươi đem trâu gỗ ngựa máy, hoặc hai ba mươi con một đàn, hoặc bốn năm mươi con một đàn, cùng chứa lương thóc, cho dắt ra đi lại trong đường núi.
如魏兵抢去，便是汝之功。”	Nếu để quân Ngụy cướp được, đó là công của ngươi.
高翔领计，驱驾木牛流马去了。	Cao Tường lĩnh mẹo, đem trâu ngựa đi.
孔明将祁山兵一一调去，只推屯田；分付：“如别兵来战，只许诈败；若司马懿自来，方并力只攻渭南，断其归路。” 孔明分拨已毕，自引一军近上方谷下营。	Khổng Minh sai vét quân ở trại Kỳ Sơn tản ra các mặt, giả danh là đi làm đồn điền. Đoạn dặn các tướng rằng: - Nếu có quân nào đến đánh, thì cứ vờ thua, nhược bằng Tư Mã Ý đến thì hết sức đánh trại Vị Nam,để chặn đường về của y. Khổng Minh phân phát quân đâu đấy, tự dẫn một toán quân đến cạnh hang Thượng Phương hạ trại.
且说夏侯惠、夏侯和二人入寨告司马懿曰：“今蜀兵四散结营，各处屯田，以为久计；若不趁此时除之，纵令安居日久，深根固蒂，难以摇动。”	Hạ Hầu Huệ, Hạ Hầu Hòa bẩm với Tư Mã Ý rằng: - Nay quân Thục tản ra các mặt, lập trại làm ruộng, để dùng cách ở lâu dài. Nếu không nhân lúc này trừ ngay đi, để họ ở lâu ngày, thành ra sâu rễ bền gốc, thì khó lòng lay chuyển được nữa.
懿曰：“此必又是孔明之计。”	Ý nói: - Đây là mẹo Khổng Minh đó thôi!
二人曰：“都督若如此疑虑，寇敌何时得灭？	Hai người nói: - Đô đốc cứ ngờ vực như thế, thì bao giờ trừ được giặc?
我兄弟二人，当奋力决一死战，以报国恩。”	Hai anh em tôi xin hết sức quyết một trận tử chiến, để báo ơn nước.
懿曰：“既如此，汝二人可分头出战。”	Ý nói: - Có phải thế thì hai chúng ngươi chia đường ra mà đánh.
遂令夏侯惠、夏侯和各引五千兵去讫。	
懿坐待回音。	
却说夏侯惠、夏侯和二人分兵两路，正行之间，忽见蜀兵驱木牛流马而来。	Hai người vâng lệnh, mỗi người dẫn năm nghìn quân, chia làm hai ngả kéo đi. Đang đi, bỗng gặp quân Thục đang kèm ốp trâu ngựa gỗ đi trong đường rừng.
二人一齐杀将过去，蜀兵大败奔走，木牛流马尽被魏兵抢获，解送司马懿营中。	Hai người đổ lại đánh, quân Thục bỏ cả trâu ngựa mà chạy. Quân Ngụy cướp được, giải về trại nộp Tư Mã Ý.
次日又劫掳得人马百余。 亦解赴大寨。	Hôm sau, lại bắt được hơn trăm quân mã, cũng giải về đại trại.
懿将解到蜀兵，诘审虚实。	Ý gọi quân bị bắt vào, gạn hỏi việc hư thực.
蜀兵告曰：“孔明只料都督坚守不出，尽命我等四散屯田，以为久计。 不想却被擒获。”	Quân Thục kêu rằng: - Thừa tướng tôi đồ rằng đô đốc không ra, vậy cho chúng tôi đi tản ra bốn mặt làm ruộng, không ngờ bị bắt về đây.
懿即将蜀兵尽皆放回。	Ý tha cả quân Thục cho về.
夏侯和曰：“何不杀之？”	Hạ Hầu Hòa nói: - Sao không giết đi?
懿曰：“量此小卒，杀之无益。 放归本寨，令说魏将宽厚仁慈，释彼战心：此吕蒙取荆州之计也。	Ý nói: - Quân tiểu tốt ấy, giết cũng vô ích, không bằng tha cho chúng nó về rồi đồn đi rằng tướng Ngụy nhân từ, để cho nản lòng không muốn đánh nhau. Đó là mẹo Lã Mông lấy Kinh Châu khi xưa đấy!
“遂传令今后凡有擒到蜀兵，俱当善遣之。	Liền truyền lệnh cho các tướng rằng: - Từ rày bắt được quân Thục, phải đối xử tử tế và tha cho về.
仍重赏有功将吏。	Nhưng các tướng có công bắt thì vẫn được trọng thưởng.
诸将皆听令而去。	Các tướng cùng vâng lệnh trở ra.
却说孔明令高翔佯作运粮，驱驾木牛流马，往来于上方谷内；夏侯惠等，不时截杀，半月之间，连胜数阵。	Nói về Cao Tường đem trâu ngựa vận lương đi lại trong hang Thượng Phương. Hạ Hầu Hòa thỉnh thoảng đến đánh, trong nửa tháng, được luôn vài trận.
司马懿见蜀兵屡败，心中欢喜。	Tư Mã Ý thấy quân Thục thua luôn, lấy làm hởi dạ lắm.
一日，又擒到蜀兵数十人。	Một bữa lại bắt được vài mươi tên quân Thục.
懿唤至帐下问曰：“孔明今在何处？”	Ý gọi đến dưới trướng hỏi rằng: - Khổng Minh nay ở đâu?
众告曰：“诸葛丞相不在祁山，在上方谷西十里下营安住。	Chúng bẩm rằng: - Thừa tướng tôi không có ở trại Kỳ Sơn, hiện nay ở cánh mé tây hang Thượng Phương mười dặm hạ trại.
今每日运粮屯于上方谷。”	Nay hàng ngày đang vận lương để chứa ở trong hang.
懿备细问了，即将众人放去；乃唤诸将分付曰：“孔明今不在祁山，在上方谷安营。	Ý hỏi tường tận, rồi tha cho chúng về, đoạn gọi các tướng đến dặn rằng: - Khổng Minh không ở trại Kỳ Sơn.
汝等于明日，可一齐并力攻取祁山大寨。 吾自引兵来接应。” 众将领命，各各准备出战。	Ngày mai, các ngươi nên hết sức, nhất tề đánh lấy trại Kỳ Sơn, ta dẫn quân tiếp ứng cho.
司马师曰：“父亲何故反欲攻其后？”	Tư Mã Sư nói: - Cớ sao phụ thân lại muốn đánh mặt sau?
懿曰：“祁山乃蜀人之根本，若见我兵攻之，各营必尽来救；我却取上方谷烧其粮草，使彼首尾不接：必大败也。”	Ý nói: - Kỳ Sơn là nơi căn bản của người Thục. Nếu thấy quân ta đến đánh, các trại tất nhiên xô lại cứu, ta sẽ lẻn đến hang Thượng Phương, đốt sạch lương thảo của Thục đi, khiến quân giặc đầu đuôi không cứu được nhau, tất chúng phải thua.
司马师拜服。	Tư Mã Sư chịu mẹo ấy.
懿即发兵起行，令张虎、乐綝各引五千兵，在后救应。	Ý liền cất quân đi, sai Trương Hổ, Nhạc Lâm mỗi người dẫn năm nghìn quân theo sau tiếp ứng.
且说孔明正在山上，望见魏兵或三五千一行，或一二千一行，队伍纷纷，前后顾盼，料必来取祁山大寨，乃密传令众将：“若司马懿自来，汝等便往劫魏寨，夺了渭南。”	Khổng Minh khi ấy đang ở trên núi, trông thấy quân Ngụy đám thì dăm ba nghìn, đám thì một vài nghìn, đội ngũ lẻ tẻ, ngơ ngác trông trước trông sau, biết là đến lấy trại Kỳ Sơn. Bèn mật truyền lệnh cho các tướng rằng: - Nếu Tư Mã Ý thân lại đây, các ngươi nên đến cướp trại Vị Nam của Ngụy.
众将各各听令。	Các tướng tuân lệnh.
却说魏兵皆奔祁山寨来，蜀兵四下一齐呐喊奔走，虚作救应之势。	Khi ấy quân Ngụy kéo đến trại Kỳ Sơn, quân Thục bốn mặt đổ ra, hò reo chạy tất tả, làm ra dáng đến cứu trại.
司马懿见蜀兵都去救祁山寨，便引二子并中军护卫人马，杀奔上方谷来。	Tư Mã Ý thấy quân Thục đến cứu trại Kỳ Sơn, liền dẫn hai con và cánh trung quân kéo đến hang Thượng Phương.
魏延在谷口，只盼司马懿到来；忽见一枝魏兵杀到，延纵马向前视之，正是司马懿。	Ngụy Diên ở ngoài cửa hang, mong chờ Tư Mã Ý đã lâu. Chợt thấy một toán quân Ngụy kéo đến. Diên tế ngựa ra xem, thì chính quân Ý.
延大喝曰：“司马懿休走！”	Diên quát to lên rằng: - Tư Mã Ý đừng chạy!
舞刀相迎。 懿挺枪接战。 不上三合，延拨回马便走，懿随后赶来。	Tư Mã Ý xông thẳng vào đánh, chưa được vài hiệp Diên quay ngựa chạy. Ý theo sau đuổi đánh.
延只望七星旗处而走。	Diên cứ trông về phía có ngọn cờ thất tinh mà chạy.
懿见魏延只一人，军马又少，放心追之；令司马师在左，司马昭在右，懿自居中，一齐攻杀将来。	Ý trông thấy Ngụy Diên có mỗi một mình; quân mã lại ít, cứ vững dạ đuổi tràn, sai Tư Mã Sư ở mặt tả, Tư Mã Chiêu ở mặt hữu. Ý đi giữa, kéo quân đuổi riết.
魏延引五百兵皆退入谷中去。	Ngụy Diên dẫn năm trăm quân lùi cả vào hang.
懿追到谷口，先令人入谷中哨探。	Ý đuổi đến cửa hang, sai người vào do thám trước.
回报谷内并无伏兵，山上皆是草房。	Người đi thám về báo trong hang không có quân phục gì cả, chỉ thấy trên núi dựng lều cỏ.
懿曰：“此必是积粮之所也。”	Ý nói: - Đây hẳn là nơi chứa lương.
遂大驱士马，尽入谷中。	Liền thúc quân mã vào cả trong hang.
懿忽见草房上尽是干柴，前面魏延已不见了。	Vừa đến nơi, thấy trong các lều cỏ toàn chứa củi khô, mà Ngụy Diên thì không thấy đâu nữa.
懿心疑，谓二子曰：“倘有兵截断谷口，如之奈何？”	Ý đâm nghi, bảo hai con rằng: - Ta vào đây, phỏng có quân giặc lấp mất cửa hang thì làm thế nào?
言未已，只听得喊声大震，山上一齐丢下火把来，烧断谷口。 魏兵奔逃无路。 山上火箭射下，地雷一齐突出，草房内干柴都着，刮刮杂杂，火势冲天。	Nói chưa dứt lời, đã thấy tiếng reo nổi lên, lửa đâu ở trên núi ném xuống, đốt chặn ngang cửa hang trước, rồi tên lửa bắn ra, địa lôi phục bật nổ lên, củi khô ở trong các lều cỏ cháy đùng đùng, chỗ nào cũng nổ đôm đốp, ngọn lửa bốc lên ngùn ngụt.
司马懿惊得手足无措，乃下马抱二子大哭曰：“我父子三人皆死于此处矣！”	Tư Mã Ý hồn bay phách lạc, chân tay luống cuống, nhảy xuống ngựa, ôm lấy hai con, khóc ầm lên rằng: - Ba cha con ta chết cả ở chỗ này mất rồi!
正哭之间，忽然狂风大作，黑气漫空，一声霹雳响处，骤雨倾盆。	Bỗng dưng trời nổi cơn giông to, mây đen kéo ngất trời, một tiếng sét nổ dữ dội, rồi đổ mưa xuống như trút nước.
满谷之火，尽皆浇灭：地雷不震，火器无功。	Lửa đang cháy tắt sạch, địa lôi phục câm tịt, những đồ dẫn hỏa cũng vô dụng.
司马懿大喜曰：“不就此时杀出，更待何时！”	Tư Mã Ý mừng rằng: - Không nhân lúc này mà đánh ra, còn đợi đến bao giờ nữa?
即引兵奋力冲杀。 张虎、乐綝亦各引兵杀来接应。	Lập tức dẫn quân hăng sức phá toang ra, may lại có Trương Hổ, Nhạc Lâm dẫn binh đến tiếp ứng.
马岱军少，不敢追赶。	Mã Đại ít quân, không dám đuổi theo.
司马懿父子与张虎、乐綝合兵一处，同归渭南大寨，不想寨栅已被蜀兵夺了。	Cha con Tư Mã Ý cùng với Trương Hổ, Nhạc Lâm hợp binh làm một, kéo về trại Vị Nam, không ngờ về đến nơi đã bị quân Thục cướp mất trại rồi.
郭淮、孙礼正在浮桥上与蜀兵接战。	Quách Hoài, Tôn Lễ đang đánh nhau với quân Thục ở trên cầu phao.
司马懿等引兵杀到，蜀兵退去。	Tư Mã Ý dẫn quân đến, quân Thục rút chạy.
懿烧断浮桥，据住北岸。	Ý sai đốt cầu phao, đóng quân giữ ở mé bắc ngạn.
且说魏兵在祁山攻打蜀寨，听知司马懿大败，失了渭南营寨，军心慌乱；急退时，四面蜀兵冲杀将来，魏兵大败，十伤八九，死者无数，余众奔过渭北逃生。	Quân Ngụy đang đánh trại Kỳ Sơn, nghe tin Tư Mã Ý thua to, mất cả trại Vị Nam, sinh ra rối loạn, vội vàng rút về. Quân Thục đổ ra đánh giết, quân Ngụy thua to, mười phần mất tám chín, còn tên nào sống sót, thì chạy trốn về mé bắc sông Vị.
孔明在山上见魏延诱司马懿入谷，一霎时火光大起，心中甚喜，以为司马懿此番必死。	Khổng Minh ở trên núi thấy Ngụy Diên dử được Tư Mã Ý vào hang. Một lát thấy ngọn lửa bốc lên, Khổng Minh trong bụng đã mừng, chắc phen này Tư Mã Ý phải chết.
不期天降大雨，火不能着，哨马报说司马懿父子俱逃去了。	Không ngờ trời trút cơn mưa xuống, lửa tắt sạch cả. Tư Mã Ý chạy thoát được ra ngoài.
孔明叹曰：“谋事在人，成事在天。 不可强也！”	Khổng Minh than rằng: - Mưu việc hại người, thành việc tại trời, không sao cưỡng được!
后人有诗叹曰：“谷口风狂烈焰飘，何期骤雨降青霄。	Đời sau có thơ than rằng: Cửa hang gió cát với mây bay, Mưa xối mây đen kéo lại đây.
