奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
一日上御龍舟 幸渜海口 見水師不整 乃命香茶廣田富榮三縣 作演水師場於弘福 社名卽今洪福 屬富榮縣 築土山 高三十餘尺	Một hôm chúa ngự thuyền rồng đi chơi cửa Eo, thấy thủy quân không được chỉnh tề, bèn ra lệnh cho ba huyện Hương Trà, Quảng Điền, Phú Vang làm trường thao diễn thủy quân ở xã Hoằng Phước (tức xã Hồng Phước, thuộc huyện Phú Vang bây giờ), đắp núi đất cao hơn 30 thước, rộng hơn 150 thước, cứ đến kỳ tháng 7 thì thao diễn phép bơi chèo và bắn súng, ai trúng thì thưởng vàng lụa.
癸未八年黎福泰元年明束禎十六年春二月黎鄭梉遣太保鄭柞鄭棣統領大軍 侍郞阮光明寺卿范公着阮名壽 參贊軍務	Quý mùi, năm thứ 8 (Lê Phước Thái năm 1, Minh Sùng Trinh năm 16), mùa xuân, tháng 2, Trịnh Tráng nhà Lê sai Thái bảo Trịnh Tạc và Trịnh Đệ thống lãnh đại quân, Thị lang Nguyễn Quang Minh, Tự khanh Phạm Công Trứ và Nguyễn Danh Thọ làm tham tán quân vụ để xâm phạm châu Nam Bố Chính của ta.
犯我南布政州 守將裴公勝力戰死之	Thủ tướng Bùi Công Thắng cố sức đánh bị chết.
鄭兵遂犯日麗海口	Quân Trịnh bèn phạm vào cửa biển Nhật Lệ.
三月鄭梉挾黎帝次于安排社 名屬北布政州	Tháng 3, Trịnh Tráng dẫn vua Lê đi, đến đóng quân ở xã An Bài (thuộc châu Bắc Bố Chính).
夏四月鄭梉使鄭檮攻中和壘	Mùa hạ, tháng 4, Trịnh Tráng sai Trịnh Đào đánh lũy Trung Hòa.
我軍防守甚固 檮攻之不克	Quân ta phòng thủ rất vững, Đào đánh không được.
時暑氣太盛 鄭兵多病死者	Bấy giờ trời nắng lắm, quân Trịnh nhiều người ốm chết.
梉遂引還 冬十月黎帝禪位於太子維祐 改元福泰 是爲眞尊	Mùa đông, tháng 10, vua Lê nhường ngôi Thái tử Duy Hựu, đổi niên hiệu là Phước Thái, tức là Chân Tông.
尊黎帝爲太上皇	Tôn vua Lê làm Thái thượng hoàng.
甲申九年清世祖煩治元年明後福王弘光黎福泰 二年元年夏四月建熙宗廟于福安舊營	Giáp thân, năm thứ 9 (Lê Phước Thái năm 2, Thanh Thế tổ Thuận Trị năm 1, Minh hậu Phước vương Hoằng Quang năm 1), mùa hạ, tháng 4, dựng miếu Hy Tông ở dinh cũ Phước Yên.
世子勇禮侯卽太宗孝哲皇帝 擊破烏闌賊於渜海口 時烏闌賊船站洋刧掠	Thế tử Dũng Lễ hầu (tức là Phước Tần, Thái tông Hiếu triết hoàng đế) đánh phá giặc Ô Lan ở cửa Eo. Bấy giờ giặc Ô Lan đậu thuyền ngoài biển, cướp bóc lái buôn.
世子卽密報掌奇尊室忠 熙宗第四子約率水軍擊之 忠以未禀命 猶豫未決	Thế tử tức thì mật báo với Chưởng cơ Tôn Thất Trung (con thứ tư của Hy Tông), ước đưa thủy quân ra đánh, Trung lấy cớ chưa bẩm mệnh, ngần ngại chưa quyết.
世子率所屬戰船直進 忠不得已率兵船隨之 至海口 世子船己出洋外	Thế tử đốc suất chiến thuyền của mình tiến thẳng ra, Trung bất đắc dĩ cũng đốc suất binh thuyền theo đi, đến cửa biển thì thuyền Thế tử đã ra ngoài khơi.
忠乃催兵船 隨進	Trung bèn giục binh thuyền tiến theo.
前後戰船馳驟如飛	Chiếc thuyền trước sau lướt nhanh như bay.
賊見之大驚 望東而走 一巨舶落後	Giặc trông thấy cả sợ, nhằm thẳng phía đông mà chạy, bỏ rơi lại một chiếc thuyền lớn.
世子督令圍射	Thế tử đốc quân vây bắn.
賊將窮蹙 縱火自焚死	Tướng giặc thế cùng phóng lửa tự đốt chết.
世子遂收兵還	Thế tử bèn thu quân về.
上初聞世子獨往大驚 親督大兵策應 纔至海口 遙見黑烟冲天 急令諸軍前進 及見捷報 上大喜 還師海亭以待之	Chúa mới nghe tin Thế tử đi có một mình cả sợ, bèn tự đốc suất đại binh tiếp ứng, vừa tới cửa biển, xa trông khói đen bốc mù trời, kíp ra lệnh cho các quân tiến lên. Tới khi được tin thắng trận, chúa mừng lắm, kéo quân về hải đình để chờ.
世子至拜謁	Thế tử đến bái yết.
上怒責之	Chúa giận trách rằng:
曰 汝爲世子 何不愼自保重	"Mày làm Thế tử, sao không thận trọng giữ mình?".
又切責忠不禀命之罪	Lại thiết trách Trung về tội không bẩm mệnh.
忠叩謝良久 因盛言 世子威風英邁 非人所及	Trung cúi đầu tạ tội giờ lâu, rồi nhân khen ngợi oai phong anh dũng của Thế tử không ai kịp được.
上笑 曰	Chúa cười nói rằng:
昔我先君嘗破海賊 吾兒亦復如是	"Trước kia tiên quân ta đã từng đánh phá giặc biển, nay con ta cũng lại như thế.
吾無憂矣	Ta không lo gì nữa".
乙酉十年清順治二年明後唐王 隆武元年黎福泰三年冬十一月以阮朝文爲廣平水營 時稱湛營參將	ất dậu, năm thứ 10 (Lê Phước Thái năm 3, Thanh Thuận Trị năm 2, Minh Hậu Đường vương Long Vũ năm 1), mùa đông, tháng 11, lấy Nguyễn Triều Văn làm tham tướng thủy dinh Quảng Bình (bấy giờ gọi là Dinh Trạm).
丙戊十一年秋七月總鎭尊室溪薨	Bính tuất, năm thứ 11, mùa thu, tháng 7, tổng trấn Tôn Thất Khê mất.
溪以慙親輔政 前後四十一年 敭歷三朝 碩德大勳爲時倚重 及薨 年五十有八	Khê là người họ thân của chúa, giúp việc chính trị trước sau 41 năm, trải quan ba triều, đức lớn công to, làm chỗ dựa quan trọng của đương thời, khi mất 58 tuổi.
上悼惜之 贈佐理尊臣平章軍國大事祥郡公 諡忠誼 嘉隆五年從祀太廟 明命十二年封義興郡王	Chúa thương tiếc lắm, tặng Tá lý tôn thần bình chương quân quốc đại sự Tường quận công, Thụy là Trung Nghị (năm Gia Long thứ 5 cho tòng tự ở Thái miếu; năm Minh Mệnh thứ 12 phong Nghĩa Hưng quận vương).
定九年一試法	Định phép thi 9 năm một kỳ.
正途試三日 第一四六 第二詩賦 第三策問以文職知府知縣 初考該簿記錄衙尉 監考丙左丙右外左外右	Chính đồ thi 3 ngày, ngày thứ nhất thi tứ lục, ngày thứ hai thi thơ phú, ngày thứ ba thi văn sách.
監試中者彙冊以進 定甲乙丙三項 甲項爲監生補知府知縣	Lấy văn chức, tri phủ, tri huyện làm sơ khảo, cai bạ, ký lục, nha úy làm giám khảo, nội tả, nội hữu, ngoại tả, ngoại hữu làm giám thí. Người thi trúng thì làm danh sách để tiến lên, định làm 3 hạng giáp, ất, bính.
乙項爲生徒補訓導 丙項亦爲生徒補禮生 或准饒學滿代華文	Hạng giáp là giám sinh, bổ tri phủ tri huyện; hạng ất làm sinh đồ, bổ huấn đạo; hạng bính cũng làm sinh đồ, bổ lễ sinh hoặc cho làm nhiêu học mãn đại.
試三日 各寫詩一律	Hoa văn thi 3 ngày, mỗi ngày đều viết một bài thơ.
中者亦分三項 補舍差令史將臣吏三司及准饒學	Người trúng cũng chia làm ba hạng, bổ làm việc ở ba ty Xá sai, Lệnh sử và Tướng thần lại và cho làm nhiêu học.
謂之秋圍會試	Đó gọi là thu vi hội thí [thi hội mùa thu].
丁亥十二年黎福泰五年 淸順治四年明後永明王 永曆元年秋八月初開試科 取正途中格七人 華文中格二十四人	Đinh hợi, năm thứ 12 (Lê Phước Thái năm 5, Thanh Thuận Trị năm 4, Minh hậu Vĩnh Minh vương Vĩnh Lịch năm 1), mùa thu, tháng 8, bắt đầu mở khoa thi, lấy được 7 người trúng cách về chính đồ, 24 người trúng cách về hoa văn, đều bổ dụng cả.
大有年戊子十三年春正月鄭人來侵	Mậu tý, năm thứ 13, mùa xuân, tháng giêng, quân họ Trịnh đến xâm lấn.
上命世子勇禮侯 擊破之	Chúa sai Thế tử Dũng Lễ hầu đánh phá được.
先是宋氏旣得八侍宮府 逢迎請托 貨寶山積	Trước là Tống thị đã được vào chầu cung phủ, đưa đón thỉnh thác, của cải chất đầy như núi.
宋氏懼 因其父福通爲鄭梉所信任 乃作密書及穿珍珠百花串 遣人往遺福通 以投于鄭 且請梉舉兵 願以家貲助軍餉	Tống thị sợ, nhân cha là Phước Thông được Trịnh Tráng tin dùng, bèn viết mật thư và xâu một chuỗi ngọc bánh hoa bằng trân châu, sai người đem đưa cho Phước Thông để biếu họ Trịnh, lại xin Tráng cất quân, nguyện đem gia tài để giúp lương quân.
梉得書 遂有南侵之議	Tráng nhận được thư mới bàn việc xâm lấn miền Nam.
至是遣都督鄭檮 統領水步諸道兵來侵	Đến đây sai đô đốc Trịnh Đào thống lãnh các đạo quân thủy bộ kéo vào xâm lấn.
二月鄭水兵犯日麗海口	Tháng 2, thủy binh của Trịnh xâm phạm cửa biển Nhật Lệ.
守將宏禮缺姓拒戰 敗走 求援于鎭守阮福喬	Thủ tướng là Hoành Lễ (không rõ họ) cự chiến thua chạy, cầu viện với trấn thủ Nguyễn Phước Kiều.
喬令參將阮朝文幸戰船來援	Kiều sai tham tướng Nguyễn Triều Văn đem chiến thuyền đến cứu viện.
朝文懦弱不進 泊于涸海	Triều Văn nhút nhát không tiến, đậu lại ở Hạc Hải.
鄭兵乃進逼廣平營 該隊張朝良張朝毅率屯兵四百餘人 力戰死之	Quân Trịnh bèn tiến bức dinh Quảng Bình. Cai đội là Trương Triều Lương, Trương Triều Nghị đốc suất đồn binh hơn 400 người cố đánh bị chết.
鄭兵進屯武舍	Quân Trịnh tiến đóng đồn ở xã Võ Xá.
社名布政 鎭守張福奮與其子雄守長言壘	Trấn thủ Bố Chính là Trương Phước Phấn cùng với con là Hùng giữ lũy Trường Dục.
鄭兵劇戰 不能克 謂之奮固持	Quân Trịnh đánh tợn mà không được, gọi là "Phấn cố trì".
上聞報 命世子勇禮侯 節制諸營 掌營尊室祿舊營鎭守宋有大監戰阮有鎰領步兵 參將阮朝文領水兵 分道竝進	Chúa nghe tin báo, sai Thế tử Dũng Lễ hầu tiết chế các dinh, sai Chưởng dinh Tôn Thất Lộc, Trấn thủ cựu dinh Tống Hữu Địa và Giám chiến Nguyễn Hữu Dật lãnh bộ binh, cùng Tham tướng Nguyễn Triều Văn lãnh thủy binh, chia đường đều tiến.
上親督大兵 列寨干中址 社名屬登昌縣	Chúa thân đốc đại binh, bày trại ở xã Trung Chỉ (thuộc huyện Đăng Xương).
有老媪者 進長紅豆	Có một bà già đem tiến đậu đỏ dài.
上問	Chúa hỏi:
曰 我兵討賊 能必勝乎	"Quân ta đánh giặc có thể thắng không"?
對曰	Bà già đáp:
十全必勝	"Mười phần chắc thắng".
上喜厚賞之 因名其寨曰全勝	Chúa mừng, hậu thưởng cho, nhân thế gọi tên trại ấy là trại Toàn Thắng.
立石社有婦人名氏 勝者能覘鄭兵虛寔 馳報官軍	Xã Lập Trạch có người đàn bà tên là Thị Thắng, thường hay dòm ngó tình hình quân Trịnh về báo cho quan quân.
乘其無備攻之 鄭兵大敗 因名其地爲全勝寨	Nhân lúc chúng không phòng bị [quân ta] đánh, quân Trịnh thua to, nên mới đặt tên đất này là trại Toàn Thắng).
時前鋒諸軍至安代社名 會逆風大起 尊室祿欲按兵固守	Bấy giờ các quân tiên phong đến xã An Đại, gặp gió ngược nổi to, Tôn Thất Lộc muốn đóng quân để cố giữ.
有鎰仰見 離方紅雲如蓋 閃爍光明 坎方有白雲 㪚落如雪 喜謂祿	Hữu Dật ngửa trông phương nam, thấy có một đám mây đỏ như cái lọng, ánh sáng rực rỡ, phương bắc có đám mây trắng, tản mát như tuyết, mừng bảo Lộc rằng:
曰 驗此天象 南方大勝之兆也	"Nghiệm vẻ trời này là điềm phương nam đại thắng, cố giữ làm gì?"
彼軍雖眾 沿山而行 未識地形險易 我選敢戰之士 扼險衝擊 取之必矣	"Quân nó dẫu nhiều, nhưng men núi mà đi, chưa biết địa hình khó dễ thế nào, nay ta lựa những chiến sĩ dũng cảm, chẹt nơi hiểm để xung kích, thì tất thắng được".
遂整軍齊進 遇鄭步兵	Bèn chỉnh quân đều tiến, gặp bộ binh của Trịnh, đánh gấp phá được, thế quân rất mạnh.
我倂力攻之 必獲全勝 世子喜 謂諸將 曰 鄭兵雖多 能戰者少	Rồi sau đại binh đến đánh thì một trận có thể bắt được".
行無隊伍 屯札不擇地勢 我若乘夜以象陣衝之 彼必奪氣奔北 然後大兵攻之 一擧可擒矣 卽遣朝芳代朝文領水軍 設伏于錦羅江左	Tức thì khiến Triều Phương thay Triều Văn đem thủy quân phục ở bên tả sông Cẩm La.
夜令掌奇阮有進率雄象百餘 五更初直八敵營襲擊之	Đến đêm sai chưởng cơ Nguyễn Hữu Tiến đem hơn 100 con voi đực, đầu canh năm thẳng vào dinh địch đánh úp.
世子董諸軍躡其後	Thế tử đốc các quân theo sau.
時鄭兵不意我軍猝至 皆驚走	Bấy giờ quân Trịnh không ngờ quân ta chợt đến, đều sợ chạy cả.
大軍繼進 大破之	Đại quân kế tiến, đánh phá tan.
北走者遇水軍斷截 皆溺死	Bọn nào chạy về Bắc thì gặp thủy quân chặn đánh, đều chết đuối cả.
鄭將陣沒十餘人 俘獲嘉李美三人 名俱缺姓 及餘眾三萬人	Bắt sống được Gia, Lý, Mỹ (đều không rõ họ) và ba vạn tàn quân.
鄭禱在南布政屯 聞之	Trịnh Đào ở đồn Nam Bố Chính nghe tin, bỏ quân chạy.
棄軍走 世子率大兵 追至欞江而還	Thế tử đốc đại binh đuổi đến sông Gianh thì trở về.
乃畱有進領兵三千屯武舍 號畱屯道 時稱十營以備之	Bèn để Hữu Tiến lãnh 3000 quân đóng ở Võ Xá, gọi là đạo Lưa Đôn (bấy giờ gọi là Dinh Mười) để phòng bị.
自南北分疆以來 兩軍互有勝負 未有如此大克捷者	Từ khi Nam Bắc chia cõi đến nay, quân hai miền lần lượt khi được khi thua, chưa có trận nào thắng to bằng trận này.
此擧爲武功第一	Thực là võ công bực nhất.
世子詣行在獻俘 上命設宴	Thế tử đến hành tại làm lễ hiến phù. Chúa sai đặt yến.
賞賚世子及諸將士有差	Thưởng cho Thế tử và các tướng sĩ theo thứ bực.
鄭俘嘉李等皆泣拜求活 獨美慷慨不屈 願赴海死	Bọn chiến tù Trịnh là Gia và Lý đều khóc lạy xin tha, duy có Mỹ là khảng khái không chịu khuất, xin nhẩy xuống biển chết.
上壯而許之 仍命收葬 以表其節	Chúa khen mà cho; lại sai thu lấy xác mà táng để nêu tiết tháo.
畱之 恐或生變 不如徙之深山海島之間 以絶後患 或以爲戮其將校 餘縱之北還 上曰 今升卽升平府	Có người cho rằng quân giặc tráo trở để đấy thì sợ sinh biến, không bằng đưa họ đi ở chốn núi sâu hay nơi hải đảo để khỏi lo về sau; lại có người cho rằng giết tướng hiệu đi, còn thì thả về miền Bắc.
乃放嘉李等及偏裨六十餘人 北還 而散處其兵 以五十人爲一邑 各給以半年之糧	Bèn tha bọn Gia, Lý và bọn tỳ tướng hơn 60 người về Bắc, rồi chia tan số binh ra cho ở các nơi, cứ 50 người làm một ấp, đều cấp cho lương ăn nửa năm.
又令富家出粟貸之 聽得採取山澤之利以資生理	Lại ra lệnh cho nhà giầu bỏ thóc cho họ vay và cho họ được tìm lấy những lợi núi đầm mà sinh sống.
於是自升奠至富安 邑里相望 其後遂爲編戶 庚寅上班師	Từ đó từ Thăng, Điện đến Phú Yên, làng mạc liền nhau, về sau sẽ thành hộ khẩu. Ngày Canh dần, chúa rút quân về.
疾大漸	Bệnh nặng.
辛卯還至三江 海兒崩于御舟	Ngày Tân mão, về tới phá Tam Giang, băng ở thuyền ngự.
在位十三年 壽四十有人	ở ngôi 13 năm, thọ 48 tuổi.
世子泣 謂掌奇尊室忠 曰	Thế tử khóc bảo chưởng cơ Tôn Thất Trung rằng:
忠固辭 曰	Trung cố từ, nói:
殳子相傳 古今常道	"Cha con truyền nhau là đạo thường xưa nay.
世子宜承大統 以順天人 於是世子卽位 率群臣 上尊諡 曰大元帥 統率順化廣南等處 掌國政威斷神武仁昭王	Thế tử nên vâng nối đại thống cho thuận ý trời và lòng người". Bấy giờ Thế tử mới lên ngôi, đem bầy tôi dâng tôn thụy là Đại nguyên soái thống suất Thuận Hóa Quảng Nam đẳng xứ chưởng quốc chính Uy Đoán Thần Vũ Nhân Chiêu vương.
